,index,num_faq
150,1150,0
151,1151,0
152,1152,0
153,1153,0
154,1154,5
155,1155,0
156,1156,0
157,1157,0
158,1158,0
159,1159,0
160,1160,4
161,1161,0
162,1162,0
163,1163,14
164,1164,1
165,1165,0
166,1166,0
167,1167,0
168,1168,0
169,1169,0
170,1170,0
171,1171,0
172,1172,0
173,1173,0
174,1174,0
175,1175,0
176,1176,0
177,1177,0
178,1178,0
179,1179,0
180,1180,0
181,1181,0
182,1182,0
183,1183,0
184,1184,0
185,1185,0
186,1186,0
187,1187,0
188,1188,0
189,1189,0
190,1190,0
191,1191,0
192,1192,0
193,1193,0
194,1194,0
195,1195,0
196,1196,0
197,1197,0
198,1198,0
199,1199,0
200,1200,0
201,1201,0
202,1202,7
203,1203,0
204,1204,2
205,1205,0
206,1206,5
207,1207,0
208,1208,0
209,1209,0
210,1210,5
211,1211,0
212,1212,0
213,1213,0
214,1214,0
215,1215,0
216,1216,0
217,1217,0
218,1218,0
219,1219,0
220,1220,0
221,1221,1
222,1222,0
223,1223,0
224,1224,0
225,1225,0
226,1226,0
227,1227,0
228,1228,0
229,1229,0
230,1230,0
231,1231,0
232,1232,3
233,1233,0
234,1234,0
235,1235,0
236,1236,0
237,1237,0
238,1238,0
239,1239,7
240,1240,0
241,1241,0
242,1242,0
243,1243,0
244,1244,0
245,1245,0
246,1246,0
247,1247,0
248,1248,0
249,1249,0
250,1250,0
251,1251,0
252,1252,0
253,1253,0
254,1254,0
255,1255,0
256,1256,0
257,1257,0
258,1258,0
259,1259,0
260,1260,0
261,1261,0
262,1262,0
263,1263,0
264,1264,0
265,1265,0
266,1266,0
267,1267,0
268,1268,0
269,1269,0
270,1270,0
271,1271,0
272,1272,0
273,1273,0
274,1274,0
275,1275,0
276,1276,0
277,1277,0
278,1278,0
279,1279,0
280,1280,0
281,1281,0
282,1282,0
283,1283,0
284,1284,0
285,1285,0
286,1286,0
287,1287,0
288,1288,0
289,1289,0
290,1290,0
291,1291,0
292,1292,0
293,1293,0
294,1294,1
295,1295,0
296,1296,0
297,1297,0
298,1298,0
299,1299,0
300,1300,0
301,1301,0
302,1302,0
303,1303,0
304,1304,0
305,1305,0
306,1306,0
307,1307,0
308,1308,4
309,1309,0
310,1310,5
311,1311,0
312,1312,0
313,1313,0
314,1314,0
315,1315,0
316,1316,0
317,1317,0
318,1318,1
319,1319,3
320,1320,0
321,1321,0
322,1322,0
323,1323,0
324,1324,0
325,1325,0
326,1326,0
327,1327,0
328,1328,0
329,1329,0
330,1330,0
331,1331,0
332,1332,7
333,1333,0
334,1334,0
335,1335,0
336,1336,0
337,1337,0
338,1338,2
339,1339,6
340,1340,0
341,1341,0
342,1342,0
343,1343,0
344,1344,0
345,1345,0
346,1346,0
347,1347,0
348,1348,0
349,1349,0
350,1350,0
351,1351,0
352,1352,0
353,1353,0
354,1354,0
355,1355,0
356,1356,0
357,1357,0
358,1358,0
359,1359,0
360,1360,0
361,1361,0
362,1362,0
363,1363,0
364,1364,0
365,1365,0
366,1366,0
367,1367,0
368,1368,0
369,1369,0
370,1370,0
371,1371,0
372,1372,0
373,1373,0
374,1374,0
375,1375,0
376,1376,2
377,1377,0
378,1378,0
379,1379,0
380,1380,0
381,1381,0
382,1382,0
383,1383,0
384,1384,0
385,1385,0
386,1386,0
387,1387,0
388,1388,0
389,1389,0
390,1390,0
391,1391,0
392,1392,0
393,1393,0
394,1394,0
395,1395,0
396,1396,0
397,1397,0
398,1398,0
399,1399,0
400,1400,0
401,1401,0
402,1402,0
403,1403,0
404,1404,0
405,1405,0
406,1406,0
407,1407,0
408,1408,0
409,1409,0
410,1410,0
411,1411,0
412,1412,0
413,1413,0
414,1414,0
415,1415,0
416,1416,0
417,1417,3
418,1418,0
419,1419,0
420,1420,0
421,1421,0
422,1422,0
423,1423,0
424,1424,0
425,1425,0
426,1426,0
427,1427,1
428,1428,0
429,1429,0
430,1430,0
431,1431,0
432,1432,0
433,1433,0
434,1434,0
435,1435,0
436,1436,0
437,1437,1
438,1438,8
439,1439,0
440,1440,0
441,1441,0
442,1442,0
443,1443,3
444,1444,0
445,1445,0
446,1446,0
447,1447,0
448,1448,2
449,1449,0
450,1450,0
451,1451,0
452,1452,0
453,1453,0
454,1454,0
455,1455,0
456,1456,0
457,1457,0
458,1458,0
459,1459,0
460,1460,0
461,1461,0
462,1462,0
463,1463,0
464,1464,0
465,1465,0
466,1466,0
467,1467,0
468,1468,0
469,1469,0
470,1470,0
471,1471,3
472,1472,0
473,1473,0
474,1474,5
475,1475,0
476,1476,0
477,1477,0
478,1478,0
479,1479,0
480,1480,0
481,1481,0
482,1482,0
483,1483,0
484,1484,0
485,1485,0
486,1486,5
487,1487,0
488,1488,0
489,1489,7
490,1490,0
491,1491,0
492,1492,0
493,1493,6
494,1494,0
495,1495,0
496,1496,2
497,1497,0
498,1498,0
499,1499,0
